name,cover,province_id,city_id,district_id,address,latitude,longitude,contact_number,opening_hours,court_types,is_indoor,facilities,court_qty,base_price,description,rating,enrolling_count,status
得乐网球培训,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,4号线高米店南,40.220952,116.231034,13911529021,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[0],{},3,192,这里不错,0.0,0,0
正赛嘉篮球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,13号线回龙观,40.064687,116.324618,18601245330,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],"{""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp""}",3,154,这里不错,0.0,0,0
回龙观体育公园-网球场,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,回龙观体育文化公园西门东45米,40.077894,116.34198,13522591911,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[0],{},4,124,这里不错,0.0,0,0
九华国际运动中心,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,小汤山沙顺路75号九华国际会展中心C座,40.183866,116.419968,15810493657,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""09:00"", ""end_time"": ""21:00""}]",[0],[1],{},24,184,这里不错,0.0,0,0
馨朗界(奥北)网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,北京市昌平区王府花园网球场,40.10665,116.403754,370880858,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[0],"{""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp""}",2,197,这里不错,0.0,0,0
乐动力回龙观体育中心,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,13号线回龙观 836米,40.064687,116.324618,18601245330,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},3,137,这里不错,0.0,0,0
挥悦网球,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,西三旗北路新康园-3期12号楼底商2层,40.065548,116.349678,18611728146,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""22:00""}]",[0],"[1, 0]",{},10,186,这里不错,0.0,0,0
拓能壹加网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,北三环东路甲6号格兰云天大酒店2幢1层,39.961327,116.439934,18270863563,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""22:00""}]",[0],[0],{},3,117,这里不错,0.0,0,0
上东体育中心·网球篮球足球匹,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,太平庄中街与42公里绿道交叉口东120米,40.066816,116.404345,15910820335,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""23:00""}]",[0],[0],{},23,102,这里不错,0.0,0,0
埃德网球俱乐部(,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,东升科技园路与西小口路交叉口南行30米西侧停车场进门右边 ,40.049466,116.358736,13021235627,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""23:30""}]",[0],"[1, 0]",{},5,105,这里不错,0.0,0,0
干行网球学院,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,昌平路碧水庄园14号碧水网球,40.118656,116.293151,,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""23:00""}]",[0],[1],"{""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""shower"": ""https://static.poptennis.com.cn/court/icon/shower.webp""}",1,140,这里不错,0.0,0,0
龙域网球场,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,14,龙域中心A座龙域网球场,40.067424,116.316892,18811100567,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""22:00""}]",[0],[0],{},2,120,这里不错,0.0,0,0
得乐网球·北关网球馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,12,迪帆国际幼儿园东南1门旁,39.936798,116.655416,13911980705,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},4,196,这里不错,0.0,0,0
大运河森林公园网球场,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,12,云帆路大运河庙停车场北230米,39.882591,116.749664,1910623151,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""22:00""}]",[0],[0],{},3,194,这里不错,0.0,0,0
网之乐网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,12,杨庄西果园甲156号机动车检测场园区内,39.897523,116.627815,13973101547,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""24:00""}]",[0],[0],{},2,104,这里不错,0.0,0,0
金徽北京网球中心,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,12,嘉创五路3号院,39.808581,116.566706,15910799775,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""23:00""}]",[0],[1],{},3,196,这里不错,0.0,0,0
